season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2014,Queens Park Rangers,Newcastle United,H,2,1,0,1
2014,Southampton,Crystal Palace,H,1,0,0,0
2014,Chelsea,Liverpool,D,1,1,1,1
2014,Everton,Burnley,H,1,0,1,0
2014,Aston Villa,Everton,H,3,2,2,0
2014,Sunderland,Aston Villa,A,0,4,0,4
2014,Queens Park Rangers,Chelsea,A,0,1,0,0
2014,West Ham,Sunderland,H,1,0,0,0
2014,Southampton,Aston Villa,H,6,1,5,1
2014,West Ham,Chelsea,A,0,1,0,1
2014,Crystal Palace,Manchester United,A,1,2,0,1
2014,Hull,Liverpool,H,1,0,1,0
2014,Chelsea,Crystal Palace,H,1,0,1,0
2014,Swansea,Liverpool,A,0,1,0,0
2014,Southampton,Hull,H,2,0,0,0
2014,Arsenal,Liverpool,H,4,1,3,0
2014,Sunderland,Leicester,D,0,0,0,0
2014,Liverpool,Burnley,H,2,0,1,0
2014,Everton,Sunderland,A,0,2,0,0
2014,Leicester,Swansea,H,2,0,1,0
2014,Hull,Arsenal,A,1,3,0,3
2014,West Bromwich Albion,Stoke,H,1,0,1,0
2014,Sunderland,Crystal Palace,A,1,4,0,0
2014,Burnley,Tottenham,D,0,0,0,0
2014,Swansea,Manchester City,A,2,4,1,2
2014,Manchester City,Leicester,H,2,0,1,0
2014,Hull,Burnley,A,0,1,0,0
2014,Manchester City,West Ham,H,2,0,2,0
2014,Leicester,Newcastle United,H,3,0,2,0
2014,Aston Villa,Swansea,A,0,1,0,0
2014,Swansea,Everton,D,1,1,0,1
2014,Chelsea,Stoke,H,2,1,1,1
2014,Tottenham,Hull,H,2,0,0,0
2014,Newcastle United,Manchester United,A,0,1,0,0
2014,Leicester,Southampton,H,2,0,2,0
2014,Newcastle United,Tottenham,A,1,3,0,1
2014,Liverpool,Queens Park Rangers,H,2,1,1,0
2014,Hull,Chelsea,A,2,3,2,2
2014,Tottenham,Aston Villa,A,0,1,0,1
2014,Crystal Palace,Manchester City,H,2,1,1,0
2014,West Bromwich Albion,Chelsea,H,3,0,1,0
2014,Stoke,Everton,H,2,0,1,0
2014,Manchester City,Queens Park Rangers,H,6,0,2,0
2014,Stoke,Southampton,H,2,1,0,1
2014,Manchester United,West Bromwich Albion,A,0,1,0,0
2014,Liverpool,Manchester United,A,1,2,0,1
2014,West Bromwich Albion,Leicester,A,2,3,2,1
2014,Everton,Southampton,H,1,0,1,0
2014,West Ham,Everton,A,1,2,0,0
2014,Tottenham,Swansea,H,3,2,1,1
2014,Newcastle United,West Bromwich Albion,D,1,1,1,1
2014,Arsenal,Chelsea,D,0,0,0,0
2014,Sunderland,Southampton,H,2,1,1,1
2014,Manchester City,West Bromwich Albion,H,3,0,2,0
2014,West Ham,Stoke,D,1,1,1,0
2014,Leicester,West Ham,H,2,1,1,1
2014,Arsenal,West Bromwich Albion,H,4,1,4,0
2014,Arsenal,West Ham,H,3,0,1,0
2014,Stoke,Tottenham,H,3,0,2,0
2014,Burnley,Leicester,A,0,1,0,0
2014,Swansea,Stoke,H,2,0,0,0
2014,Newcastle United,Arsenal,A,1,2,0,2
2014,Arsenal,Sunderland,D,0,0,0,0
2014,Manchester United,Aston Villa,H,3,1,1,0
2014,Aston Villa,Burnley,A,0,1,0,1
2014,Burnley,Manchester City,H,1,0,0,0
2014,Burnley,Stoke,D,0,0,0,0
2014,Crystal Palace,Hull,A,0,2,0,0
